         45710 function calls (45094 primitive calls) in 22.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   22.515   22.515 C:\Users\kayne\PycharmProjects\Hermod\hermod\main.py:11(main)
       10    0.000    0.000   22.505    2.250 C:\Users\kayne\PycharmProjects\Hermod\hermod\core\code_generation.py:26(generate_code)
       10    0.000    0.000   22.502    2.250 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_resources\chat_completion.py:12(create)
       10    0.000    0.000   22.502    2.250 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_resources\abstract\engine_api_resource.py:127(create)
       10    0.000    0.000   22.499    2.250 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_requestor.py:277(request)
       10    0.000    0.000   22.499    2.250 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_requestor.py:569(request_raw)
       10    0.000    0.000   22.473    2.247 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\sessions.py:500(request)
       10    0.000    0.000   22.466    2.247 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\sessions.py:673(send)
       10    0.000    0.000   22.451    2.245 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\adapters.py:613(send)
       10    0.000    0.000   22.447    2.245 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connectionpool.py:594(urlopen)
       10    0.000    0.000   22.446    2.245 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connectionpool.py:379(_make_request)
      277    0.000    0.000   22.263    0.080 {method 'readline' of '_io.BufferedReader' objects}
       35    0.000    0.000   22.263    0.636 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\socket.py:706(readinto)
       35    0.000    0.000   22.263    0.636 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1237(recv_into)
       35    0.000    0.000   22.263    0.636 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1095(read)
       35   22.263    0.636   22.263    0.636 {method 'read' of '_ssl._SSLSocket' objects}
       10    0.000    0.000   22.256    2.226 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connection.py:481(getresponse)
       10    0.000    0.000   22.254    2.225 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1384(getresponse)
       10    0.000    0.000   22.254    2.225 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:324(begin)
       10    0.000    0.000   22.250    2.225 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:291(_read_status)
        3    0.000    0.000   21.094    7.031 C:\Users\kayne\PycharmProjects\Hermod\hermod\core\project_generator.py:16(generate_project)
